Date,Symbol,Shares,PriceOnDate
2015-06-01,PG,137,78.8499984741211
2015-06-01,QQQ,195,110.41999816894531
2015-06-01,SPY,209,211.57000732421875
2015-06-01,UNH,129,119.86000061035156
2015-06-01,VUG,199,109.5199966430664
2015-06-01,WMT,57,24.90999984741211
2015-06-01,XLF,77,20.0
2015-06-01,XLV,96,75.23999786376953
2015-07-01,AAPL,232,31.649999618530273
2015-07-01,ABBV,191,68.51000213623047
2015-07-01,BAC,131,17.219999313354492
2015-07-01,COST,61,136.49000549316406
2015-07-01,EURUSD=X,196,1.1134989261627197
2015-07-01,META,97,86.91000366210938
2015-07-01,GBPUSD=X,86,1.5687012672424316
2015-07-01,GOOGL,54,27.165000915527344
2015-07-01,GS,148,209.94000244140625
2015-07-01,INTC,221,30.18000030517578
2015-07-01,JNJ,144,98.47000122070312
2015-07-01,JPM,223,68.06999969482422
2015-07-01,JPYUSD=X,204,0.008170869201421738
2015-07-01,KO,154,39.5
2015-07-01,MS,143,39.36000061035156
2015-07-01,MSFT,203,44.45000076293945
2015-07-01,NVDA,179,0.5099999904632568
2015-07-01,PFE,134,31.963947296142578
2015-07-01,PG,137,79.72000122070312
2015-07-01,QQQ,195,107.91999816894531
2015-07-01,SPY,209,207.5
2015-07-01,UNH,129,123.37999725341797
2015-07-01,VUG,199,107.83999633789062
2015-07-01,WMT,57,23.959999084472656
2015-07-01,XLF,162,20.10560417175293
2015-07-01,XLV,96,75.19000244140625
2015-08-01,AAPL,232,30.325000762939453
2015-08-01,ABBV,191,70.01000213623047
2015-08-01,BAC,131,17.8799991607666
2015-08-01,COST,61,145.3000030517578
2015-08-01,EURUSD=X,196,1.0939244031906128
2015-08-01,META,97,94.01000213623047
2015-08-01,GBPUSD=X,86,1.5604275465011597
2015-08-01,GOOGL,54,32.875
2015-08-01,GS,148,205.07000732421875
2015-08-01,INTC,221,28.950000762939453
2015-08-01,JNJ,144,100.20999908447266
2015-08-01,JPM,223,68.52999877929688
2015-08-01,JPYUSD=X,204,0.008059901185333729
2015-08-01,KO,154,41.08000183105469
2015-08-01,MS,143,38.84000015258789
2015-08-01,MSFT,203,46.70000076293945
2015-08-01,NVDA,179,0.4987500011920929
2015-08-01,PFE,134,34.2125244140625
2015-08-01,PG,137,76.69999694824219
2015-08-01,QQQ,195,111.94999694824219
2015-08-01,SPY,209,210.5
2015-08-01,UNH,191,121.4000015258789
2015-08-01,VUG,199,110.55000305175781
2015-08-01,WMT,57,23.99333381652832
2015-08-01,XLF,162,20.479284286499023
2015-08-01,XLV,96,76.58999633789062
2015-09-01,AAPL,232,26.93000030517578
2015-09-01,ABBV,191,60.5
2015-09-01,BAC,131,15.579999923706055
2015-09-01,COST,61,138.3000030517578
2015-09-01,EURUSD=X,196,1.1225864887237549
2015-09-01,META,97,87.2300033569336
2015-09-01,GBPUSD=X,86,1.5363106727600098
2015-09-01,GOOGL,54,31.47800064086914
2015-09-01,GS,148,182.1199951171875
2015-09-01,INTC,221,27.81999969482422
2015-09-01,JNJ,144,92.08999633789062
2015-09-01,JPM,223,61.45000076293945
2015-09-01,JPYUSD=X,204,0.008258388377726078
2015-09-01,KO,154,38.75
2015-09-01,MS,143,33.119998931884766
2015-09-01,MSFT,203,41.81999969482422
2015-09-01,NVDA,179,0.5389999747276306
2015-09-01,PFE,134,29.753320693969727
2015-09-01,PG,137,68.9000015258789
2015-09-01,QQQ,195,101.05000305175781
2015-09-01,SPY,209,191.77000427246094
2015-09-01,UNH,184,112.62999725341797
2015-09-01,VUG,199,100.66000366210938
2015-09-01,WMT,57,21.273332595825195
2015-09-01,XLF,162,18.415922164916992
2015-09-01,XLV,96,68.63999938964844
2015-10-01,AAPL,232,27.395000457763672
2015-10-01,ABBV,191,55.130001068115234
2015-10-01,BAC,131,15.550000190734863
2015-10-01,COST,61,144.55999755859375
2015-10-01,EURUSD=X,196,1.11720609664917
2015-10-01,META,97,90.94999694824219
2015-10-01,GBPUSD=X,86,1.5124017000198364
2015-10-01,GOOGL,54,32.099998474121094
2015-10-01,GS,148,176.02000427246094
2015-10-01,INTC,221,30.0
2015-10-01,JNJ,144,93.16999816894531
2015-10-01,JPM,223,61.41999816894531
2015-10-01,JPYUSD=X,204,0.008343136869370937
2015-10-01,KO,154,39.79999923706055
2015-10-01,MS,143,31.5
2015-10-01,MSFT,203,44.61000061035156
2015-10-01,NVDA,179,0.6042500138282776
2015-10-01,PFE,134,30.208728790283203
2015-10-01,PG,137,71.94999694824219
2015-10-01,QQQ,195,102.22000122070312
2015-10-01,SPY,209,192.1300048828125
2015-10-01,UNH,184,116.61000061035156
2015-10-01,VUG,199,100.70999908447266
2015-10-01,WMT,57,21.42333221435547
2015-10-01,XLF,162,18.415922164916992
2015-10-01,XLV,96,66.9000015258789
2015-11-01,AAPL,232,29.875
2015-11-01,ABBV,113,59.54999923706055
2015-11-01,BAC,131,16.780000686645508
2015-11-01,COST,61,158.1199951171875
2015-11-01,EURUSD=X,196,1.0993843078613281
2015-11-01,META,97,101.97000122070312
2015-11-01,GBPUSD=X,86,1.532379150390625
2015-11-01,GOOGL,54,36.86949920654297
2015-11-01,GS,148,187.5
2015-11-01,INTC,221,33.86000061035156
2015-11-01,JNJ,144,101.02999877929688
2015-11-01,JPM,223,64.25
2015-11-01,JPYUSD=X,204,0.00826446246355772
2015-11-01,KO,154,42.349998474121094
2015-11-01,MS,143,32.970001220703125
2015-11-01,MSFT,203,52.63999938964844
2015-11-01,NVDA,179,0.7092499732971191
2015-11-01,PFE,134,32.08728790283203
2015-11-01,PG,137,76.37999725341797
2015-11-01,QQQ,52,113.33000183105469
2015-11-01,SPY,209,207.92999267578125
2015-11-01,UNH,184,117.77999877929688
2015-11-01,VUG,199,109.29000091552734
2015-11-01,WMT,57,19.079999923706055
2015-11-01,XLF,162,19.56133270263672
2015-11-01,XLV,96,71.33999633789062
2015-12-01,AAPL,232,29.334999084472656
2015-12-01,ABBV,209,59.02000045776367
2015-12-01,BAC,131,17.809999465942383
2015-12-01,COST,61,161.2899932861328
2015-12-01,EURUSD=X,196,1.0572947263717651
2015-12-01,META,97,107.12000274658203
2015-12-01,GBPUSD=X,86,1.5057973861694336
2015-12-01,GOOGL,54,39.18949890136719
2015-12-01,GS,148,193.07000732421875
2015-12-01,INTC,61,35.09000015258789
2015-12-01,JNJ,214,102.36000061035156
2015-12-01,JPM,223,67.61000061035156
2015-12-01,JPYUSD=X,204,0.008116224780678749
2015-12-01,KO,154,42.88999938964844
2015-12-01,MS,143,35.27000045776367
2015-12-01,MSFT,203,55.220001220703125
2015-12-01,NVDA,179,0.8187500238418579
2015-12-01,PFE,134,31.897533416748047
2015-12-01,PG,137,75.94000244140625
2015-12-01,QQQ,52,115.16000366210938
2015-12-01,SPY,209,210.67999267578125
2015-12-01,UNH,184,116.26000213623047
2015-12-01,VUG,199,110.4800033569336
2015-12-01,WMT,57,19.663333892822266
2015-12-01,XLF,162,20.17059326171875
2015-12-01,XLV,96,72.30999755859375
2016-01-01,AAPL,232,26.315000534057617
2016-01-01,ABBV,209,59.2400016784668
2016-01-01,BAC,131,16.829999923706055
2016-01-01,COST,61,161.5
2016-01-01,EURUSD=X,196,1.0859060287475586
2016-01-01,META,97,104.66000366210938
2016-01-01,GBPUSD=X,86,1.4738394021987915
2016-01-01,GOOGL,54,38.9005012512207
2016-01-01,GS,148,180.22999572753906
2016-01-01,INTC,61,34.45000076293945
2016-01-01,JNJ,214,102.72000122070312
2016-01-01,JPM,223,66.02999877929688
2016-01-01,JPYUSD=X,204,0.008313381113111973
2016-01-01,KO,154,42.959999084472656
2016-01-01,MS,143,31.809999465942383
2016-01-01,MSFT,203,55.47999954223633
2016-01-01,NVDA,179,0.8240000009536743
2016-01-01,PFE,134,30.62618637084961
2016-01-01,PG,137,79.41000366210938
2016-01-01,QQQ,52,111.86000061035156
2016-01-01,SPY,209,203.8699951171875
2016-01-01,UNH,184,117.63999938964844
2016-01-01,VUG,199,106.38999938964844
2016-01-01,WMT,57,20.433332443237305
2016-01-01,XLF,162,19.358245849609375
2016-01-01,XLV,96,72.02999877929688
2016-02-01,AAPL,232,24.107500076293945
2016-02-01,ABBV,209,54.38999938964844
2016-02-01,BAC,131,13.960000038146973
2016-02-01,COST,61,151.25
2016-02-01,EURUSD=X,196,1.0825908184051514
2016-02-01,META,97,115.08999633789062
2016-02-01,GBPUSD=X,86,1.4246028661727905
2016-02-01,GOOGL,54,38.53850173950195
2016-02-01,GS,148,159.64999389648438
2016-02-01,INTC,61,30.81999969482422
2016-02-01,JNJ,214,104.37000274658203
2016-02-01,JPM,223,58.86000061035156
2016-02-01,JPYUSD=X,204,0.008241306059062481
2016-02-01,KO,154,43.0
2016-02-01,MS,119,25.709999084472656
2016-02-01,MSFT,203,54.709999084472656
2016-02-01,NVDA,179,0.7325000166893005
2016-02-01,PFE,134,28.62428855895996
2016-02-01,PG,137,81.12000274658203
2016-02-01,QQQ,52,104.41000366210938
2016-02-01,SPY,209,193.64999389648438
2016-02-01,UNH,184,115.88999938964844
2016-02-01,VUG,199,100.23999786376953
2016-02-01,WMT,115,22.5
2016-02-01,XLF,162,17.57107925415039
2016-02-01,XLV,96,66.56999969482422
2016-03-01,AAPL,232,25.13249969482422
2016-03-01,ABBV,209,56.34000015258789
2016-03-01,BAC,131,13.1899995803833
2016-03-01,COST,61,150.52000427246094
2016-03-01,EURUSD=X,196,1.0888975858688354
2016-03-01,META,97,109.81999969482422
2016-03-01,GBPUSD=X,86,1.3927963972091675
2016-03-01,GOOGL,54,37.10850143432617
2016-03-01,GS,148,154.64999389648438
2016-03-01,INTC,61,30.3700008392334
2016-03-01,JNJ,214,107.22000122070312
2016-03-01,JPM,223,59.20000076293945
2016-03-01,JPYUSD=X,204,0.008894423022866249
2016-03-01,KO,154,43.689998626708984
2016-03-01,MS,119,26.09000015258789
2016-03-01,MSFT,203,52.58000183105469
2016-03-01,NVDA,179,0.8187500238418579
2016-03-01,PFE,220,28.50094985961914
2016-03-01,PG,137,81.2300033569336
2016-03-01,QQQ,52,105.79000091552734
2016-03-01,SPY,209,198.11000061035156
2016-03-01,UNH,184,121.66999816894531
2016-03-01,VUG,199,102.36000061035156
2016-03-01,WMT,115,22.15333366394043
2016-03-01,XLF,162,17.70918083190918
2016-03-01,XLV,96,67.6500015258789
2016-04-01,AAPL,232,27.497499465942383
2016-04-01,ABBV,209,57.41999816894531
2016-04-01,BAC,131,13.5600004196167
2016-04-01,COST,61,158.25
2016-04-01,EURUSD=X,196,1.1379671096801758
2016-04-01,META,97,116.05999755859375
2016-04-01,GBPUSD=X,86,1.4366991519927979
2016-04-01,GOOGL,54,38.48350143432617
2016-04-01,GS,148,159.82000732421875
2016-04-01,INTC,61,32.45000076293945
2016-04-01,JNJ,214,109.19000244140625
2016-04-01,JPM,223,59.869998931884766
2016-04-01,JPYUSD=X,204,0.008890469558537006
2016-04-01,KO,154,46.83000183105469
2016-04-01,MS,119,25.530000686645508
2016-04-01,MSFT,203,55.56999969482422
2016-04-01,NVDA,179,0.9037500023841858
2016-04-01,PFE,220,28.50094985961914
2016-04-01,PG,137,83.52999877929688
2016-04-01,QQQ,52,110.36000061035156
2016-04-01,SPY,209,206.9199981689453
2016-04-01,UNH,184,129.9199981689453
2016-04-01,VUG,199,107.33000183105469
2016-04-01,WMT,115,23.020000457763672
2016-04-01,XLF,162,18.440292358398438
2016-04-01,XLV,96,68.55000305175781
2016-05-01,AAPL,232,23.434999465942383
2016-05-01,ABBV,147,61.0
2016-05-01,BAC,131,14.5600004196167
2016-05-01,COST,61,148.1300048828125
2016-05-01,EURUSD=X,196,1.135589361190796
2016-05-01,META,97,117.58000183105469
2016-05-01,GBPUSD=X,86,1.4611338376998901
2016-05-01,GOOGL,54,35.39400100708008
2016-05-01,GS,148,164.11000061035156
2016-05-01,INTC,61,30.280000686645508
2016-05-01,JNJ,214,112.08000183105469
2016-05-01,JPM,223,63.20000076293945
2016-05-01,JPYUSD=X,204,0.00925274845212698
2016-05-01,KO,154,44.79999923706055
2016-05-01,MS,119,27.059999465942383
2016-05-01,MSFT,203,49.869998931884766
2016-05-01,NVDA,179,0.8882499933242798
2016-05-01,PFE,220,31.034156799316406
2016-05-01,PG,137,80.12000274658203
2016-05-01,QQQ,52,105.72000122070312
2016-05-01,SPY,209,206.3300018310547
2016-05-01,UNH,184,131.67999267578125
2016-05-01,VUG,199,105.61000061035156
2016-05-01,WMT,115,22.290000915527344
2016-05-01,XLF,162,18.93582534790039
2016-05-01,XLV,96,69.79000091552734
2016-06-01,AAPL,232,24.614999771118164
2016-06-01,ABBV,62,62.83000183105469
2016-06-01,BAC,131,14.859999656677246
2016-06-01,COST,61,152.52000427246094
2016-06-01,EURUSD=X,196,1.113598108291626
2016-06-01,META,97,118.77999877929688
2016-06-01,GBPUSD=X,86,1.4482468366622925
2016-06-01,GOOGL,54,37.42300033569336
2016-06-01,GS,148,159.97000122070312
2016-06-01,INTC,61,31.65999984741211
2016-06-01,JNJ,70,112.77999877929688
2016-06-01,JPM,223,65.69000244140625
2016-06-01,JPYUSD=X,204,0.009035872295498848
2016-06-01,KO,154,44.70000076293945
2016-06-01,MS,119,27.489999771118164
2016-06-01,MSFT,203,52.849998474121094
2016-06-01,NVDA,179,1.1702500581741333
2016-06-01,PFE,220,32.96963882446289
2016-06-01,PG,137,81.79000091552734
2016-06-01,QQQ,52,110.3499984741211
2016-06-01,SPY,209,210.27000427246094
2016-06-01,UNH,184,134.52999877929688
2016-06-01,VUG,199,108.33000183105469
2016-06-01,WMT,115,23.5
2016-06-01,XLF,162,19.33387565612793
2016-06-01,XLV,96,71.61000061035156
2016-07-01,AAPL,232,23.97249984741211
2016-07-01,ABBV,62,62.709999084472656
2016-07-01,BAC,131,13.100000381469727
2016-07-01,COST,61,156.11000061035156
2016-07-01,EURUSD=X,196,1.1106051206588745
2016-07-01,META,97,114.19000244140625
2016-07-01,GBPUSD=X,86,1.3328713178634644
2016-07-01,GOOGL,54,35.51250076293945
2016-07-01,GS,148,148.25
2016-07-01,INTC,61,32.75
2016-07-01,JNJ,70,121.29000091552734
2016-07-01,JPM,223,61.2599983215332
2016-07-01,JPYUSD=X,204,0.009701861999928951
2016-07-01,KO,154,45.119998931884766
2016-07-01,MS,119,25.920000076293945
2016-07-01,MSFT,203,51.15999984741211
2016-07-01,NVDA,179,1.1664999723434448
2016-07-01,PFE,220,33.74762725830078
2016-07-01,PG,137,84.77999877929688
2016-07-01,QQQ,52,108.08000183105469
2016-07-01,SPY,209,209.9199981689453
2016-07-01,UNH,184,140.86000061035156
2016-07-01,VUG,199,107.63999938964844
2016-07-01,WMT,115,24.270000457763672
2016-07-01,XLF,162,18.47278594970703
2016-07-01,XLV,96,72.16000366210938
2016-08-01,AAPL,232,26.512500762939453
2016-08-01,ABBV,62,66.94000244140625
2016-08-01,BAC,131,14.329999923706055
2016-08-01,COST,61,167.55999755859375
2016-08-01,EURUSD=X,196,1.1168068647384644
2016-08-01,META,97,124.30999755859375
2016-08-01,GBPUSD=X,86,1.3216325044631958
2016-08-01,GOOGL,54,40.047000885009766
2016-08-01,GS,148,158.17999267578125
2016-08-01,INTC,61,34.849998474121094
2016-08-01,JNJ,70,125.4000015258789
2016-08-01,JPM,223,63.79999923706055
2016-08-01,JPYUSD=X,204,0.00977211445569992
2016-08-01,KO,154,43.45000076293945
2016-08-01,MS,119,28.5
2016-08-01,MSFT,203,56.58000183105469
2016-08-01,NVDA,179,1.4182499647140503
2016-08-01,PFE,220,35.39848327636719
2016-08-01,PG,137,86.41000366210938
2016-08-01,QQQ,52,115.83999633789062
2016-08-01,SPY,209,216.94000244140625
2016-08-01,UNH,184,143.50999450683594
2016-08-01,VUG,199,112.5999984741211
2016-08-01,WMT,115,24.593332290649414
2016-08-01,XLF,162,19.16328239440918
2016-08-01,XLV,96,75.68000030517578
2016-09-01,AAPL,232,26.6825008392334
2016-09-01,ABBV,62,64.02999877929688
2016-09-01,BAC,131,15.979999542236328
2016-09-01,COST,61,156.2100067138672
2016-09-01,EURUSD=X,196,1.116071343421936
2016-09-01,META,97,126.16999816894531
2016-09-01,GBPUSD=X,86,1.3133701086044312
2016-09-01,GOOGL,54,39.56999969482422
2016-09-01,GS,148,168.50999450683594
2016-09-01,INTC,61,36.02000045776367
2016-09-01,JNJ,70,119.08000183105469
2016-09-01,JPM,223,67.20999908447266
2016-09-01,JPYUSD=X,204,0.009680354967713356
2016-09-01,KO,154,43.349998474121094
2016-09-01,MS,119,31.90999984741211
2016-09-01,MSFT,203,57.59000015258789
2016-09-01,NVDA,179,1.5787500143051147
2016-09-01,PFE,220,32.90322494506836
2016-09-01,PG,137,88.30999755859375
2016-09-01,QQQ,52,116.73999786376953
2016-09-01,SPY,209,217.38999938964844
2016-09-01,UNH,184,135.74000549316406
2016-09-01,VUG,199,112.19999694824219
2016-09-01,WMT,115,24.280000686645508
2016-09-01,XLF,162,19.870023727416992
2016-09-01,XLV,96,72.56999969482422
2016-10-01,AAPL,232,28.262500762939453
2016-10-01,ABBV,62,63.06999969482422
2016-10-01,BAC,131,15.649999618530273
2016-10-01,COST,61,152.50999450683594
2016-10-01,EURUSD=X,196,1.121956706047058
2016-10-01,META,97,128.27000427246094
2016-10-01,GBPUSD=X,86,1.2963443994522095
2016-10-01,GOOGL,54,40.202999114990234
2016-10-01,GS,148,161.27000427246094
2016-10-01,INTC,61,37.75
2016-10-01,JNJ,70,118.12999725341797
2016-10-01,JPM,223,66.58999633789062
2016-10-01,JPYUSD=X,204,0.0098815206438303
2016-10-01,KO,154,42.31999969482422
2016-10-01,MS,119,32.060001373291016
2016-10-01,MSFT,203,57.599998474121094
2016-10-01,NVDA,179,1.7130000591278076
2016-10-01,PFE,220,32.13472366333008
2016-10-01,PG,137,89.75
2016-10-01,QQQ,52,118.72000122070312
2016-10-01,SPY,209,216.3000030517578
2016-10-01,UNH,123,140.0
2016-10-01,VUG,199,112.29000091552734
2016-10-01,WMT,115,24.040000915527344
2016-10-01,XLF,162,19.299999237060547
2016-10-01,XLV,96,72.11000061035156
2016-11-01,AAPL,232,27.872499465942383
2016-11-01,ABBV,62,56.45000076293945
2016-11-01,BAC,131,16.610000610351562
2016-11-01,COST,61,146.66000366210938
2016-11-01,EURUSD=X,196,1.0973334312438965
2016-11-01,META,97,129.5
2016-11-01,GBPUSD=X,86,1.2236906290054321
2016-11-01,GOOGL,54,40.27399826049805
2016-11-01,GS,148,178.05999755859375
2016-11-01,INTC,61,34.52000045776367
2016-11-01,JNJ,136,115.33999633789062
2016-11-01,JPM,223,68.97000122070312
2016-11-01,JPYUSD=X,204,0.009540163911879063
2016-11-01,KO,154,42.119998931884766
2016-11-01,MS,119,33.36000061035156
2016-11-01,MSFT,203,59.79999923706055
2016-11-01,NVDA,179,1.7262500524520874
2016-11-01,PFE,220,29.478178024291992
2016-11-01,PG,137,86.8499984741211
2016-11-01,QQQ,52,116.11000061035156
2016-11-01,SPY,209,211.00999450683594
2016-11-01,UNH,123,139.42999267578125
2016-11-01,VUG,199,108.51000213623047
2016-11-01,WMT,115,23.100000381469727
2016-11-01,XLF,99,19.65999984741211
2016-11-01,XLV,96,67.0
2016-12-01,AAPL,66,27.372499465942383
2016-12-01,ABBV,62,59.15999984741211
2016-12-01,BAC,131,21.5
2016-12-01,COST,61,151.74000549316406
2016-12-01,EURUSD=X,196,1.0592098236083984
2016-12-01,META,97,115.0999984741211
2016-12-01,GBPUSD=X,86,1.2517211437225342
2016-12-01,GOOGL,54,38.21649932861328
2016-12-01,GS,148,226.6300048828125
2016-12-01,INTC,61,33.7599983215332
2016-12-01,JNJ,136,111.37999725341797
2016-12-01,JPM,223,81.79000091552734
2016-12-01,JPYUSD=X,204,0.008718851953744888
2016-12-01,KO,154,40.16999816894531
2016-12-01,MS,119,42.15999984741211
2016-12-01,MSFT,203,59.20000076293945
2016-12-01,NVDA,179,2.190999984741211
2016-12-01,PFE,220,29.84819793701172
2016-12-01,PG,137,81.86000061035156
2016-12-01,QQQ,53,115.47000122070312
2016-12-01,SPY,209,219.57000732421875
2016-12-01,UNH,123,160.94000244140625
2016-12-01,VUG,138,109.31999969482422
2016-12-01,WMT,115,23.55666732788086
2016-12-01,XLF,99,22.899999618530273
2016-12-01,XLV,96,68.25
2017-01-01,AAPL,66,28.954999923706055
2017-01-01,ABBV,62,62.619998931884766
2017-01-01,BAC,131,22.100000381469727
2017-01-01,COST,61,160.11000061035156
2017-01-01,EURUSD=X,169,1.0575296878814697
2017-01-01,META,97,115.05000305175781
2017-01-01,GBPUSD=X,86,1.2288031578063965
2017-01-01,GOOGL,54,39.622501373291016
2017-01-01,GS,148,239.4499969482422
2017-01-01,INTC,61,36.27000045776367
2017-01-01,JNJ,136,115.20999908447266
2017-01-01,JPM,223,86.29000091552734
2017-01-01,JPYUSD=X,204,0.008600892499089241
2017-01-01,KO,154,41.459999084472656
2017-01-01,MS,119,42.25
2017-01-01,MSFT,203,62.13999938964844
2017-01-01,NVDA,179,2.6684999465942383
2017-01-01,PFE,220,30.81593894958496
2017-01-01,PG,137,84.08000183105469
2017-01-01,QQQ,53,118.4800033569336
2017-01-01,SPY,209,223.52999877929688
2017-01-01,UNH,123,160.0399932861328
2017-01-01,VUG,138,111.4800033569336
2017-01-01,WMT,115,23.040000915527344
2017-01-01,XLF,99,23.25
