Date,Symbol,Shares,PriceOnDate,Sector
2015-09-01,ABBV,191,60.5,Healthcare
2015-09-01,BAC,131,15.579999923706055,Financial Services
2015-09-01,COST,61,138.3000030517578,Consumer Defensive
2015-09-01,EURUSD=X,196,1.1225864887237549,Other
2015-09-01,META,97,87.2300033569336,Communication Services
2015-09-01,GBPUSD=X,86,1.5363106727600098,Other
2015-09-01,GOOGL,54,31.47800064086914,Communication Services
2015-09-01,GS,148,182.1199951171875,Financial Services
2015-09-01,INTC,221,27.81999969482422,Technology
2015-09-01,JNJ,144,92.08999633789062,Healthcare
2015-09-01,JPM,223,61.45000076293945,Financial Services
2015-09-01,JPYUSD=X,204,0.008258388377726078,Other
2015-09-01,KO,154,38.75,Consumer Defensive
2015-09-01,MS,143,33.119998931884766,Financial Services
2015-09-01,MSFT,203,41.81999969482422,Technology
2015-09-01,NVDA,179,0.5389999747276306,Technology
2015-09-01,PFE,134,29.753320693969727,Healthcare
2015-09-01,PG,137,68.9000015258789,Consumer Defensive
2015-09-01,QQQ,195,101.05000305175781,Other
2015-09-01,SPY,209,191.77000427246094,Other
2015-09-01,UNH,184,112.62999725341797,Healthcare
2015-09-01,VUG,199,100.66000366210938,Other
2015-09-01,WMT,57,21.273332595825195,Consumer Defensive
2015-09-01,XLF,162,18.415922164916992,Other
2015-09-01,XLV,96,68.63999938964844,Other
2015-10-01,AAPL,232,27.395000457763672,Technology
2015-10-01,ABBV,191,55.130001068115234,Healthcare
2015-10-01,BAC,131,15.550000190734863,Financial Services
2015-10-01,COST,61,144.55999755859375,Consumer Defensive
2015-10-01,EURUSD=X,196,1.11720609664917,Other
2015-10-01,META,97,90.94999694824219,Communication Services
2015-10-01,GBPUSD=X,86,1.5124017000198364,Other
2015-10-01,GOOGL,54,32.099998474121094,Communication Services
2015-10-01,GS,148,176.02000427246094,Financial Services
2015-10-01,INTC,221,30.0,Technology
2015-10-01,JNJ,144,93.16999816894531,Healthcare
2015-10-01,JPM,223,61.41999816894531,Financial Services
2015-10-01,JPYUSD=X,204,0.008343136869370937,Other
2015-10-01,KO,154,39.79999923706055,Consumer Defensive
2015-10-01,MS,143,31.5,Financial Services
2015-10-01,MSFT,203,44.61000061035156,Technology
2015-10-01,NVDA,179,0.6042500138282776,Technology
2015-10-01,PFE,134,30.208728790283203,Healthcare
2015-10-01,PG,137,71.94999694824219,Consumer Defensive
2015-10-01,QQQ,195,102.22000122070312,Other
2015-10-01,SPY,209,192.1300048828125,Other
2015-10-01,UNH,184,116.61000061035156,Healthcare
2015-10-01,VUG,199,100.70999908447266,Other
2015-10-01,WMT,57,21.42333221435547,Consumer Defensive
2015-10-01,XLF,162,18.415922164916992,Other
2015-10-01,XLV,96,66.9000015258789,Other
2015-11-01,AAPL,232,29.875,Technology
2015-11-01,ABBV,113,59.54999923706055,Healthcare
2015-11-01,BAC,131,16.780000686645508,Financial Services
2015-11-01,COST,61,158.1199951171875,Consumer Defensive
2015-11-01,EURUSD=X,196,1.0993843078613281,Other
2015-11-01,META,97,101.97000122070312,Communication Services
2015-11-01,GBPUSD=X,86,1.532379150390625,Other
2015-11-01,GOOGL,54,36.86949920654297,Communication Services
2015-11-01,GS,148,187.5,Financial Services
2015-11-01,INTC,221,33.86000061035156,Technology
2015-11-01,JNJ,144,101.02999877929688,Healthcare
2015-11-01,JPM,223,64.25,Financial Services
2015-11-01,JPYUSD=X,204,0.00826446246355772,Other
2015-11-01,KO,154,42.349998474121094,Consumer Defensive
2015-11-01,MS,143,32.970001220703125,Financial Services
2015-11-01,MSFT,203,52.63999938964844,Technology
2015-11-01,NVDA,179,0.7092499732971191,Technology
2015-11-01,PFE,134,32.08728790283203,Healthcare
2015-11-01,PG,137,76.37999725341797,Consumer Defensive
2015-11-01,QQQ,52,113.33000183105469,Other
2015-11-01,SPY,209,207.92999267578125,Other
2015-11-01,UNH,184,117.77999877929688,Healthcare
2015-11-01,VUG,199,109.29000091552734,Other
2015-11-01,WMT,57,19.079999923706055,Consumer Defensive
2015-11-01,XLF,162,19.56133270263672,Other
2015-11-01,XLV,96,71.33999633789062,Other
2015-12-01,AAPL,232,29.334999084472656,Technology
2015-12-01,ABBV,209,59.02000045776367,Healthcare
2015-12-01,BAC,131,17.809999465942383,Financial Services
2015-12-01,COST,61,161.2899932861328,Consumer Defensive
2015-12-01,EURUSD=X,196,1.0572947263717651,Other
2015-12-01,META,97,107.12000274658203,Communication Services
2015-12-01,GBPUSD=X,86,1.5057973861694336,Other
2015-12-01,GOOGL,54,39.18949890136719,Communication Services
2015-12-01,GS,148,193.07000732421875,Financial Services
2015-12-01,INTC,61,35.09000015258789,Technology
2015-12-01,JNJ,214,102.36000061035156,Healthcare
2015-12-01,JPM,223,67.61000061035156,Financial Services
2015-12-01,JPYUSD=X,204,0.008116224780678749,Other
2015-12-01,KO,154,42.88999938964844,Consumer Defensive
2015-12-01,MS,143,35.27000045776367,Financial Services
2015-12-01,MSFT,203,55.220001220703125,Technology
2015-12-01,NVDA,179,0.8187500238418579,Technology
2015-12-01,PFE,134,31.897533416748047,Healthcare
2015-12-01,PG,137,75.94000244140625,Consumer Defensive
2015-12-01,QQQ,52,115.16000366210938,Other
2015-12-01,SPY,209,210.67999267578125,Other
2015-12-01,UNH,184,116.26000213623047,Healthcare
2015-12-01,VUG,199,110.4800033569336,Other
2015-12-01,WMT,57,19.663333892822266,Consumer Defensive
2015-12-01,XLF,162,20.17059326171875,Other
2015-12-01,XLV,96,72.30999755859375,Other
2016-01-01,AAPL,232,26.315000534057617,Technology
2016-01-01,ABBV,209,59.2400016784668,Healthcare
2016-01-01,BAC,131,16.829999923706055,Financial Services
2016-01-01,COST,61,161.5,Consumer Defensive
2016-01-01,EURUSD=X,196,1.0859060287475586,Other
2016-01-01,META,97,104.66000366210938,Communication Services
2016-01-01,GBPUSD=X,86,1.4738394021987915,Other
2016-01-01,GOOGL,54,38.9005012512207,Communication Services
2016-01-01,GS,148,180.22999572753906,Financial Services
2016-01-01,INTC,61,34.45000076293945,Technology
2016-01-01,JNJ,214,102.72000122070312,Healthcare
2016-01-01,JPM,223,66.02999877929688,Financial Services
2016-01-01,JPYUSD=X,204,0.008313381113111973,Other
2016-01-01,KO,154,42.959999084472656,Consumer Defensive
2016-01-01,MS,143,31.809999465942383,Financial Services
2016-01-01,MSFT,203,55.47999954223633,Technology
2016-01-01,NVDA,179,0.8240000009536743,Technology
2016-01-01,PFE,134,30.62618637084961,Healthcare
2016-01-01,PG,137,79.41000366210938,Consumer Defensive
2016-01-01,QQQ,52,111.86000061035156,Other
2016-01-01,SPY,209,203.8699951171875,Other
2016-01-01,UNH,184,117.63999938964844,Healthcare
2016-01-01,VUG,199,106.38999938964844,Other
2016-01-01,WMT,57,20.433332443237305,Consumer Defensive
2016-01-01,XLF,162,19.358245849609375,Other
2016-01-01,XLV,96,72.02999877929688,Other
2016-02-01,AAPL,232,24.107500076293945,Technology
2016-02-01,ABBV,209,54.38999938964844,Healthcare
2016-02-01,BAC,131,13.960000038146973,Financial Services
2016-02-01,COST,61,151.25,Consumer Defensive
2016-02-01,EURUSD=X,196,1.0825908184051514,Other
2016-02-01,META,97,115.08999633789062,Communication Services
2016-02-01,GBPUSD=X,86,1.4246028661727905,Other
2016-02-01,GOOGL,54,38.53850173950195,Communication Services
2016-02-01,GS,148,159.64999389648438,Financial Services
2016-02-01,INTC,61,30.81999969482422,Technology
2016-02-01,JNJ,214,104.37000274658203,Healthcare
2016-02-01,JPM,223,58.86000061035156,Financial Services
2016-02-01,JPYUSD=X,204,0.008241306059062481,Other
2016-02-01,KO,154,43.0,Consumer Defensive
2016-02-01,MS,119,25.709999084472656,Financial Services
2016-02-01,MSFT,203,54.709999084472656,Technology
2016-02-01,NVDA,179,0.7325000166893005,Technology
2016-02-01,PFE,134,28.62428855895996,Healthcare
2016-02-01,PG,137,81.12000274658203,Consumer Defensive
2016-02-01,QQQ,52,104.41000366210938,Other
2016-02-01,SPY,209,193.64999389648438,Other
2016-02-01,UNH,184,115.88999938964844,Healthcare
2016-02-01,VUG,199,100.23999786376953,Other
2016-02-01,WMT,115,22.5,Consumer Defensive
2016-02-01,XLF,162,17.57107925415039,Other
2016-02-01,XLV,96,66.56999969482422,Other
2016-03-01,AAPL,232,25.13249969482422,Technology
2016-03-01,ABBV,209,56.34000015258789,Healthcare
2016-03-01,BAC,131,13.1899995803833,Financial Services
2016-03-01,COST,61,150.52000427246094,Consumer Defensive
2016-03-01,EURUSD=X,196,1.0888975858688354,Other
2016-03-01,META,97,109.81999969482422,Communication Services
2016-03-01,GBPUSD=X,86,1.3927963972091675,Other
2016-03-01,GOOGL,54,37.10850143432617,Communication Services
2016-03-01,GS,148,154.64999389648438,Financial Services
2016-03-01,INTC,61,30.3700008392334,Technology
2016-03-01,JNJ,214,107.22000122070312,Healthcare
2016-03-01,JPM,223,59.20000076293945,Financial Services
2016-03-01,JPYUSD=X,204,0.008894423022866249,Other
2016-03-01,KO,154,43.689998626708984,Consumer Defensive
2016-03-01,MS,119,26.09000015258789,Financial Services
2016-03-01,MSFT,203,52.58000183105469,Technology
2016-03-01,NVDA,179,0.8187500238418579,Technology
2016-03-01,PFE,220,28.50094985961914,Healthcare
2016-03-01,PG,137,81.2300033569336,Consumer Defensive
2016-03-01,QQQ,52,105.79000091552734,Other
2016-03-01,SPY,209,198.11000061035156,Other
2016-03-01,UNH,184,121.66999816894531,Healthcare
2016-03-01,VUG,199,102.36000061035156,Other
2016-03-01,WMT,115,22.15333366394043,Consumer Defensive
2016-03-01,XLF,162,17.70918083190918,Other
2016-03-01,XLV,96,67.6500015258789,Other
2016-04-01,AAPL,232,27.497499465942383,Technology
2016-04-01,ABBV,209,57.41999816894531,Healthcare
2016-04-01,BAC,131,13.5600004196167,Financial Services
2016-04-01,COST,61,158.25,Consumer Defensive
2016-04-01,EURUSD=X,196,1.1379671096801758,Other
2016-04-01,META,97,116.05999755859375,Communication Services
2016-04-01,GBPUSD=X,86,1.4366991519927979,Other
2016-04-01,GOOGL,54,38.48350143432617,Communication Services
2016-04-01,GS,148,159.82000732421875,Financial Services
2016-04-01,INTC,61,32.45000076293945,Technology
2016-04-01,JNJ,214,109.19000244140625,Healthcare
2016-04-01,JPM,223,59.869998931884766,Financial Services
2016-04-01,JPYUSD=X,204,0.008890469558537006,Other
2016-04-01,KO,154,46.83000183105469,Consumer Defensive
2016-04-01,MS,119,25.530000686645508,Financial Services
2016-04-01,MSFT,203,55.56999969482422,Technology
2016-04-01,NVDA,179,0.9037500023841858,Technology
2016-04-01,PFE,220,28.50094985961914,Healthcare
2016-04-01,PG,137,83.52999877929688,Consumer Defensive
2016-04-01,QQQ,52,110.36000061035156,Other
2016-04-01,SPY,209,206.9199981689453,Other
2016-04-01,UNH,184,129.9199981689453,Healthcare
2016-04-01,VUG,199,107.33000183105469,Other
2016-04-01,WMT,115,23.020000457763672,Consumer Defensive
2016-04-01,XLF,162,18.440292358398438,Other
2016-04-01,XLV,96,68.55000305175781,Other
2016-05-01,AAPL,232,23.434999465942383,Technology
2016-05-01,ABBV,147,61.0,Healthcare
2016-05-01,BAC,131,14.5600004196167,Financial Services
2016-05-01,COST,61,148.1300048828125,Consumer Defensive
2016-05-01,EURUSD=X,196,1.135589361190796,Other
2016-05-01,META,97,117.58000183105469,Communication Services
2016-05-01,GBPUSD=X,86,1.4611338376998901,Other
2016-05-01,GOOGL,54,35.39400100708008,Communication Services
2016-05-01,GS,148,164.11000061035156,Financial Services
2016-05-01,INTC,61,30.280000686645508,Technology
2016-05-01,JNJ,214,112.08000183105469,Healthcare
2016-05-01,JPM,223,63.20000076293945,Financial Services
2016-05-01,JPYUSD=X,204,0.00925274845212698,Other
2016-05-01,KO,154,44.79999923706055,Consumer Defensive
2016-05-01,MS,119,27.059999465942383,Financial Services
2016-05-01,MSFT,203,49.869998931884766,Technology
2016-05-01,NVDA,179,0.8882499933242798,Technology
2016-05-01,PFE,220,31.034156799316406,Healthcare
2016-05-01,PG,137,80.12000274658203,Consumer Defensive
2016-05-01,QQQ,52,105.72000122070312,Other
2016-05-01,SPY,209,206.3300018310547,Other
2016-05-01,UNH,184,131.67999267578125,Healthcare
2016-05-01,VUG,199,105.61000061035156,Other
2016-05-01,WMT,115,22.290000915527344,Consumer Defensive
2016-05-01,XLF,162,18.93582534790039,Other
2016-05-01,XLV,96,69.79000091552734,Other
2016-06-01,AAPL,232,24.614999771118164,Technology
2016-06-01,ABBV,62,62.83000183105469,Healthcare
2016-06-01,BAC,131,14.859999656677246,Financial Services
2016-06-01,COST,61,152.52000427246094,Consumer Defensive
2016-06-01,EURUSD=X,196,1.113598108291626,Other
2016-06-01,META,97,118.77999877929688,Communication Services
2016-06-01,GBPUSD=X,86,1.4482468366622925,Other
2016-06-01,GOOGL,54,37.42300033569336,Communication Services
2016-06-01,GS,148,159.97000122070312,Financial Services
2016-06-01,INTC,61,31.65999984741211,Technology
2016-06-01,JNJ,70,112.77999877929688,Healthcare
2016-06-01,JPM,223,65.69000244140625,Financial Services
2016-06-01,JPYUSD=X,204,0.009035872295498848,Other
2016-06-01,KO,154,44.70000076293945,Consumer Defensive
2016-06-01,MS,119,27.489999771118164,Financial Services
2016-06-01,MSFT,203,52.849998474121094,Technology
2016-06-01,NVDA,179,1.1702500581741333,Technology
2016-06-01,PFE,220,32.96963882446289,Healthcare
2016-06-01,PG,137,81.79000091552734,Consumer Defensive
2016-06-01,QQQ,52,110.3499984741211,Other
2016-06-01,SPY,209,210.27000427246094,Other
2016-06-01,UNH,184,134.52999877929688,Healthcare
2016-06-01,VUG,199,108.33000183105469,Other
2016-06-01,WMT,115,23.5,Consumer Defensive
2016-06-01,XLF,162,19.33387565612793,Other
2016-06-01,XLV,96,71.61000061035156,Other
2016-07-01,AAPL,232,23.97249984741211,Technology
2016-07-01,ABBV,62,62.709999084472656,Healthcare
2016-07-01,BAC,131,13.100000381469727,Financial Services
2016-07-01,COST,61,156.11000061035156,Consumer Defensive
2016-07-01,EURUSD=X,196,1.1106051206588745,Other
2016-07-01,META,97,114.19000244140625,Communication Services
2016-07-01,GBPUSD=X,86,1.3328713178634644,Other
2016-07-01,GOOGL,54,35.51250076293945,Communication Services
2016-07-01,GS,148,148.25,Financial Services
2016-07-01,INTC,61,32.75,Technology
2016-07-01,JNJ,70,121.29000091552734,Healthcare
2016-07-01,JPM,223,61.2599983215332,Financial Services
2016-07-01,JPYUSD=X,204,0.009701861999928951,Other
2016-07-01,KO,154,45.119998931884766,Consumer Defensive
2016-07-01,MS,119,25.920000076293945,Financial Services
2016-07-01,MSFT,203,51.15999984741211,Technology
2016-07-01,NVDA,179,1.1664999723434448,Technology
2016-07-01,PFE,220,33.74762725830078,Healthcare
2016-07-01,PG,137,84.77999877929688,Consumer Defensive
2016-07-01,QQQ,52,108.08000183105469,Other
2016-07-01,SPY,209,209.9199981689453,Other
2016-07-01,UNH,184,140.86000061035156,Healthcare
2016-07-01,VUG,199,107.63999938964844,Other
2016-07-01,WMT,115,24.270000457763672,Consumer Defensive
2016-07-01,XLF,162,18.47278594970703,Other
2016-07-01,XLV,96,72.16000366210938,Other
2016-08-01,AAPL,232,26.512500762939453,Technology
2016-08-01,ABBV,62,66.94000244140625,Healthcare
2016-08-01,BAC,131,14.329999923706055,Financial Services
2016-08-01,COST,61,167.55999755859375,Consumer Defensive
2016-08-01,EURUSD=X,196,1.1168068647384644,Other
2016-08-01,META,97,124.30999755859375,Communication Services
2016-08-01,GBPUSD=X,86,1.3216325044631958,Other
2016-08-01,GOOGL,54,40.047000885009766,Communication Services
2016-08-01,GS,148,158.17999267578125,Financial Services
2016-08-01,INTC,61,34.849998474121094,Technology
2016-08-01,JNJ,70,125.4000015258789,Healthcare
2016-08-01,JPM,223,63.79999923706055,Financial Services
2016-08-01,JPYUSD=X,204,0.00977211445569992,Other
2016-08-01,KO,154,43.45000076293945,Consumer Defensive
2016-08-01,MS,119,28.5,Financial Services
2016-08-01,MSFT,203,56.58000183105469,Technology
2016-08-01,NVDA,179,1.4182499647140503,Technology
2016-08-01,PFE,220,35.39848327636719,Healthcare
2016-08-01,PG,137,86.41000366210938,Consumer Defensive
2016-08-01,QQQ,52,115.83999633789062,Other
2016-08-01,SPY,209,216.94000244140625,Other
2016-08-01,UNH,184,143.50999450683594,Healthcare
2016-08-01,VUG,199,112.5999984741211,Other
2016-08-01,WMT,115,24.593332290649414,Consumer Defensive
2016-08-01,XLF,162,19.16328239440918,Other
2016-08-01,XLV,96,75.68000030517578,Other
2016-09-01,AAPL,232,26.6825008392334,Technology
